rep,parameter,true,recovered
0,t,0.4236109957331982,0.41952063591724054
0,a(low),2.008382720548393,2.000948778107544
0,a(medium),2.1064310503050976,2.115345243275777
0,a(high),1.9751907303989156,1.994810718935233
0,v_Intercept,1.5743328082982022,1.5947735590020284
0,v_z_AttentionW,1.244198201321693,1.163217640525575
0,v_z_IAW_chart:C(OVcate)[low],1.1434688965521684,1.0629134927529194
0,v_z_IAW_chart:C(OVcate)[medium],1.1955457770695266,1.1594314207184946
0,v_z_IAW_chart:C(OVcate)[high],1.3759269698163457,1.2809734594774735
0,v_z_IAW_image:C(OVcate)[low],1.1551030663836828,0.9826668296037153
0,v_z_IAW_image:C(OVcate)[medium],0.9005424214186915,0.8451653679611346
0,v_z_IAW_image:C(OVcate)[high],0.88203813260256,0.7658087596277106
1,t,0.4465676599827845,0.4551302756618985
1,a(low),1.9964882438568727,1.9328189151721298
1,a(medium),1.9492038957347806,1.875073498356035
1,a(high),1.933772723857649,1.8796947749338089
1,v_Intercept,1.491286309658828,1.5174809013279182
1,v_z_AttentionW,1.2512919241947908,1.1487980493238146
1,v_z_IAW_chart:C(OVcate)[low],1.329829329145072,1.3652802095388705
1,v_z_IAW_chart:C(OVcate)[medium],1.4323273219800536,1.326366947397093
1,v_z_IAW_chart:C(OVcate)[high],1.4256709078011172,1.2209069045782435
1,v_z_IAW_image:C(OVcate)[low],0.8647369890702754,0.8252135299204406
1,v_z_IAW_image:C(OVcate)[medium],0.8491786304895914,0.7956357119025124
1,v_z_IAW_image:C(OVcate)[high],1.0199381150260058,0.9084050519088643
2,t,0.412172098483751,0.4182666218686951
2,a(low),2.0696734274612347,2.0213640612037582
2,a(medium),2.007600028039943,1.915111143687976
2,a(high),1.773530537122217,1.7420205203949863
2,v_Intercept,1.526226384883822,1.439825041004484
2,v_z_AttentionW,1.2209845079240156,0.9098174756199785
2,v_z_IAW_chart:C(OVcate)[low],1.428681707588831,1.5039530716142393
2,v_z_IAW_chart:C(OVcate)[medium],1.3374989865993183,1.1293451226031543
2,v_z_IAW_chart:C(OVcate)[high],1.1978071911046502,0.6578856285446273
2,v_z_IAW_image:C(OVcate)[low],0.8445662702139306,0.6580028227253499
2,v_z_IAW_image:C(OVcate)[medium],1.0221910859188277,0.7960211532020097
