parameter,n,pearson_r,r2,p_value
a_Intercept,21,-0.4974550746516486,0.2474615512966773,0.021759858390374726
v_z_AttentionW:C(OVcate)[low],21,0.48716647143944236,0.237331170894757,0.025098048951593455
a_OVcate[T.medium],21,-0.41739897453236796,0.17422190394067236,0.05975199739031761
v_z_AttentionW:C(OVcate)[medium],21,-0.32900077165260055,0.10824150774800662,0.1453222558248703
v_Intercept,21,0.29478659938437013,0.08689913917660112,0.19455648700107148
a_OVcate[T.low],21,-0.292922823724197,0.08580378065855698,0.19752559245371804
v_z_AttentionW:C(OVcate)[high],21,0.1986064473313895,0.03944452092159599,0.3881134790721456
v_z_IAW_image,21,-0.14642957455135835,0.021441620303291813,0.526495871925267
v_z_IAW_chart,21,0.1451592496449491,0.02107120775748466,0.530128383272697
t,21,-0.1442782257878153,0.02081620643647981,0.5326545293608853
