parameter,n,pearson_r,r2,p_value
a_Intercept,21,-0.49745507465164857,0.24746155129667724,0.021759858390374726
v_z_AttentionW:C(OVcate)[low],21,0.48716647143944236,0.237331170894757,0.025098048951593455
theta_chart_medium,21,0.4541330978419644,0.2062368705555392,0.03863775119149765
a_OVcate[T.medium],21,-0.41739897453236796,0.17422190394067236,0.05975199739031761
v_z_AttentionW:C(OVcate)[medium],21,-0.32900077165260055,0.10824150774800662,0.1453222558248703
v_Intercept,21,0.29478659938437013,0.08689913917660112,0.19455648700107148
a_OVcate[T.low],21,-0.292922823724197,0.08580378065855698,0.19752559245371804
theta_image_high,21,-0.25467741495380575,0.06486058568755296,0.2652316190553788
theta_chart_low,21,-0.24649108011282636,0.06075785257518778,0.28142355444812295
theta_image_low,21,-0.24299730799832947,0.059047691694434995,0.28851737230260943
v_z_AttentionW:C(OVcate)[high],21,0.1986064473313895,0.03944452092159599,0.3881134790721456
theta_image_medium,21,0.18899658416302126,0.03571970882528998,0.4119361215556641
v_z_IAW_image,21,-0.14642957455135835,0.021441620303291813,0.526495871925267
v_z_IAW_chart,21,0.1451592496449491,0.02107120775748466,0.530128383272697
t,21,-0.1442782257878153,0.02081620643647981,0.5326545293608853
theta_chart_high,21,-0.1041353342849336,0.010844167846634868,0.6532788331457113
