parameter,N,R2,r,p,beta,beta_lo,beta_hi,p_beta_eq1,intercept,RMSE
t,42,0.8696750390679441,0.9325636916950735,2.6762882522011354e-19,0.9214430401346954,0.807455781331818,1.0354302989375728,0.17135257888267102,0.037231115524219094,0.01904501245787341
v_Intercept,42,0.8688385743534535,0.9321151078882122,3.0429939463387217e-19,0.923891829646735,0.8091802764208806,1.0386033828725894,0.18750810973915524,0.17739508451236707,0.10346490272689021
a_Intercept,42,0.9507523743733628,0.9750653180035493,9.043450598710197e-28,0.993586765213545,0.9213235545088685,1.0658499759182216,0.8585551059303846,-0.001871612960162583,0.13040491773294455
a_OVcate[T.low],42,0.8531558890240606,0.9236643811602029,2.937985596877456e-18,0.7917860647688915,0.6868138304057493,0.8967582991320336,0.00025892915164050053,0.023353326147388304,0.10535412967503391
a_OVcate[T.medium],42,0.7794890033159023,0.8828867443312887,1.0423560329987963e-14,0.7144321769822846,0.5930028318936367,0.8358615220709325,2.5922758714148105e-05,0.013534295203627617,0.1119912663814769
v_z_AttentionW:C(OVcate)[high],42,0.7152600444954706,0.8457304798193516,1.8026208965026791e-12,0.7500409469936762,0.5988138156992998,0.9012680782880526,0.0018197759409142168,0.21744657836789016,0.19465263312799067
v_z_AttentionW:C(OVcate)[low],42,0.7755906309470392,0.8806762350302404,1.4833882360885152e-14,0.769331289655498,0.6370890706581217,0.9015735086528743,0.001076524869351803,0.2397819643106084,0.19240734941988893
v_z_AttentionW:C(OVcate)[medium],42,0.6743421998160806,0.82118341423587,2.717196965053656e-11,0.8047966382783222,0.6260741330240636,0.9835191435325807,0.033081479792712976,0.24491302476867483,0.1697998367971478
v_z_IAW_chart,42,0.7875542524852688,0.8874425347509938,4.923437675100697e-15,0.7562555774397381,0.6307379018816713,0.881773252997805,0.00033331622246023063,0.3161301372064481,0.17065891154436635
v_z_IAW_image,42,0.6806111046949077,0.8249915785599922,1.8340556778725745e-11,0.7495175333332318,0.5854416677166585,0.9135933989498051,0.003679465786939952,0.24494564136958086,0.17548925680061223
