,mean,std,2.5q,25q,50q,75q,97.5q,mc err
t,0.43482335593636956,0.014201972447984747,0.4072917243407776,0.4257492176038476,0.4344434235437736,0.44353331881565017,0.4638143882127409,0.0002609379128599455
t_std,0.05932921559418925,0.01118348268196985,0.04169667374548734,0.05135449039290155,0.05785009403748432,0.0655886774841927,0.08560033351588178,0.000245447878082801
t_subj.2,0.3975285032780201,0.015025811922956664,0.3692204975457176,0.38602965662768557,0.39778470009537537,0.40977844094529886,0.4236756319830067,0.00040011030998217834
t_subj.3,0.4062608531073222,0.01083866472897837,0.38501125253760304,0.39897997093372084,0.4061133409231462,0.4133188548492085,0.4279247108431851,0.00023508629487932318
t_subj.7,0.42030686643738446,0.018253710889095828,0.38365102736959544,0.408268748462155,0.42072084499677725,0.4324962108810205,0.4555906166949215,0.00039844032102651056
t_subj.8,0.3387958403684335,0.015886522895652084,0.31090684717820055,0.3285328418975484,0.3369827389125295,0.34756709169039945,0.3752580120521566,0.00035409441617188607
t_subj.9,0.4369971421367893,0.018961218066683532,0.3998748785819633,0.42509731606279205,0.436816230632171,0.4494269795206264,0.47455152840504583,0.0004040628146707584
t_subj.10,0.5856306726880428,0.013882154983078954,0.5600290722518494,0.5768301813990062,0.584822620817428,0.593244894060934,0.6169802694673623,0.0002898822258857313
t_subj.11,0.4310905397690687,0.00955851358842975,0.41142732655122577,0.4247699899152136,0.431740251237252,0.4380037345394766,0.4481687065421638,0.0002007608651239262
t_subj.12,0.45223687260424095,0.011652512360550232,0.42806311853699813,0.44497515659380626,0.45294686741903684,0.46029014967986964,0.47319010045597876,0.00028683300187951907
t_subj.13,0.40200203851366334,0.013013022524445443,0.3629402904563058,0.3973184324102017,0.4047696958734868,0.41027934614903633,0.4190746669018272,0.0003634473555786829
t_subj.15,0.494117246611284,0.012260619156237298,0.4679976298510173,0.4861844100408267,0.49465010295394113,0.5027064701901709,0.5164381780820329,0.0002601158150164595
t_subj.16,0.4141896614506587,0.004727050000174961,0.40431403674495836,0.411345660643413,0.4144269192505995,0.4173390317042628,0.42263021250756355,8.634722618532323e-05
