,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.896090282086432,0.11033746967079669,1.695181433720541,1.8227352948675597,1.8905709161388145,1.9665575908583854,2.1202420619658913,0.0038459047530984614
a_std,0.483982255893219,0.09232067176765466,0.34592888285553813,0.4177277891772754,0.4727547602299814,0.5332345953977483,0.7024566445412923,0.0038227000658596516
a_subj.2,1.7863737558027688,0.05993028401447678,1.677169468010351,1.7451898387160356,1.7871480339984356,1.8255314581192754,1.9029228061727537,0.002254870337680663
a_subj.3,1.6804837365483327,0.051570718770594194,1.5814181973367318,1.6462209140658737,1.6783078206498967,1.7138998131325283,1.7864728682427629,0.0017492110059947482
a_subj.7,2.2225815602916286,0.08448648343414195,2.070373454933903,2.162585423956628,2.217902615710606,2.2762797463533526,2.3917359325177108,0.003723500326287839
a_subj.8,1.7105652636061974,0.058991335715703946,1.5937655872581262,1.671346802908155,1.7106371229955393,1.7475505182934288,1.8262930827327217,0.0026894049939853617
a_subj.9,2.0342196971197337,0.06913335902162422,1.904144755435019,1.9873062599639093,2.030851942676498,2.0805928473648256,2.1785987732762,0.0031997204243824615
a_subj.10,1.5742169641710968,0.049712841911619475,1.4838904777412851,1.540913819926032,1.5714899745990794,1.6075294982415615,1.6710906396316003,0.001896978615392612
a_subj.11,1.555509675463659,0.06102730956460139,1.442282870922276,1.5150643115486464,1.5555377191718627,1.5955439369018631,1.6820479809456335,0.002977968641252728
a_subj.12,1.8806151340118251,0.06401254310534238,1.759864707072617,1.8361836216728429,1.8798382884219962,1.923319710028172,2.0063099040991546,0.0023540513792677667
a_subj.13,1.0081455401218584,0.034486146835971274,0.9429447938552177,0.9834012740342382,1.007689455047305,1.0311610828809528,1.0758047936657058,0.001164824074188989
a_subj.15,1.6629263813616695,0.059459872661124555,1.5532977162356199,1.6206094878051989,1.6621397035915062,1.7038858504219112,1.7773909189849513,0.0025492715961228205
a_subj.16,1.2492404802022536,0.051587886177123565,1.1521980293082166,1.2132654611500977,1.248122163817037,1.283460285842911,1.3526837728200662,0.0027869132823564687
a_subj.17,1.6912832458391167,0.05744007922443827,1.5861467186213756,1.6510101544829694,1.6878217312836528,1.7275908739041745,1.8144857763697373,0.002601408471853491
a_subj.18,1.992869006413687,0.07616617006274208,1.854974502476912,1.9375586350695557,1.9914080790828232,2.043894313576843,2.143581884804377,0.0035436275722029132
a_subj.19,2.389173377355115,0.10266671008071103,2.198351668627086,2.319768986538622,2.3840001961160624,2.4579965976990996,2.5928772538702605,0.00444136180459347
a_subj.20,2.230157147882465,0.0764541835970921,2.078589970564914,2.180750800507784,2.230872900467455,2.278474505173375,2.3839337249537618,0.0030189966878202213
a_subj.21,2.6136669567443382,0.0952080340242537,2.4322383029641452,2.5465182706297753,2.613509646016923,2.6793509701676523,2.800310605637824,0.0044686177061963135
a_subj.22,2.553894431791747,0.11751500350852541,2.3281202479759506,2.4777666000082843,2.5528937386021466,2.6307846294626183,2.7769992540368538,0.0064215292420984355
a_subj.23,1.8190190858105402,0.060109044065158365,1.7081936319338573,1.775965144389992,1.81763985482371,1.8575967196434833,1.9413183127065539,0.0027108251951666494
