,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a(0),1.8694466020694924,0.09984096588920892,1.6757289240787583,1.8020502389944442,1.8692427328823178,1.935596988020591,2.0681868520558164,0.0019153817515179371
a(1),1.9268861907832575,0.0953042921288641,1.7410722740136464,1.8633186321665265,1.9261939766959861,1.9898034516937049,2.1163383622851497,0.0014247171414200428
a(2),1.6785374838063272,0.09173019138565354,1.502214385376519,1.6168552935885074,1.6767141062079494,1.7383515797147668,1.8650436789125917,0.0013539656346143979
a(3),1.712615049491057,0.09150778637540297,1.5344270390972126,1.6511744520082576,1.7115294649176058,1.773812456040254,1.892730586915784,0.0011259521615507896
a_std,0.3761051902016946,0.041888890968975155,0.3016490555394461,0.3468149594945491,0.373520292891642,0.4024521714379913,0.46626802639000225,0.0006997189881736104
a_subj(0).2,1.6057782820304556,0.1642677471476134,1.3078227811639356,1.4906355470944388,1.598305323161942,1.7115693824465381,1.954592371949957,0.002556848709433517
a_subj(0).3,2.1184067862173332,0.21138692859281497,1.7290674082785658,1.9723141076319766,2.1091990464903185,2.2553114877691787,2.557217523551324,0.0036530605531845508
a_subj(0).7,1.7577373879864149,0.1493537218376704,1.4828010458491148,1.6543621414465899,1.7517234346758708,1.8527948644714884,2.0675554588550913,0.0019201562187660735
a_subj(0).8,1.615730017252178,0.1869016828589718,1.2797688792597046,1.4843083479794248,1.606619974220685,1.7350596480807203,2.012361040037804,0.0037280302826732856
a_subj(0).9,1.7434148686622544,0.18168204466389687,1.4184470718404538,1.615794653859206,1.7343299858783956,1.859275547271547,2.124082434750268,0.002496245801926051
a_subj(0).10,2.391271964177005,0.24516843916713676,1.9290873781075313,2.2222388668885045,2.3852884028652035,2.552591314394792,2.8950216681144574,0.004295226774152994
a_subj(0).11,1.66289195379255,0.16866713910419265,1.3547289161917184,1.5458779140611485,1.6535491771266821,1.7720372934082413,2.0170128302629715,0.003089603352046943
a_subj(0).12,2.264549899597713,0.231085563652499,1.8435279569606884,2.1050759847105187,2.2538017330779843,2.411439420926061,2.748015247806638,0.003421303803899967
a_subj(0).13,1.3883462415943069,0.1654654944945601,1.0860417437263976,1.2728833010904568,1.3793538733769046,1.497290526834504,1.7342984612570513,0.002939885330630635
a_subj(0).15,1.8587909151501811,0.18481340106062497,1.5182499558829738,1.7309730748082588,1.8519213933951677,1.9778295352636606,2.24682263412563,0.0026581547985690904
a_subj(0).16,2.1581956947358525,0.2003323304130865,1.7830157244502645,2.020632122234551,2.1530459544618212,2.289833563266998,2.566383245516597,0.0032140683407846137
a_subj(0).17,1.251090847265868,0.13936400662951803,0.9973687056694527,1.154320543022705,1.2442430156962887,1.339497253029177,1.544767760031271,0.0017818624106217152
a_subj(0).18,1.7033428947772247,0.2579675351753733,1.2570714576562994,1.5199989941387293,1.68247445427489,1.8695069905583526,2.2544637604599513,0.0038418267645924584
a_subj(0).19,2.6517955316358917,0.29385486196670424,2.1117762140052103,2.4486113576573363,2.6369006507768864,2.8430341710816043,3.257628191272696,0.004816302272757396
a_subj(0).20,1.7760450747014938,0.18712144553567533,1.43427419131598,1.6474538695286436,1.7663800545406998,1.8961284879943412,2.166475978600063,0.0038337003796741374
a_subj(0).21,1.7762292735501493,0.18513942882644266,1.4414562049474782,1.6474582362763173,1.7662815168976473,1.8958888733487635,2.164476411937562,0.0034953610558411917
a_subj(0).22,2.3190584795209874,0.2496443976143973,1.857153351540459,2.1462962093334323,2.309558288205036,2.4833633909728694,2.8299796403017417,0.005581136853628002
a_subj(0).23,2.6627129586951233,0.240083271528887,2.2042406391521676,2.4962885893780973,2.659628180966396,2.8234060756016603,3.144337314384779,0.004188863291332416
a_subj(0).24,1.7864591250215924,0.170353275688794,1.4760731101939077,1.666848424520329,1.7776816580262036,1.8968954570654284,2.1431881643991764,0.0034138001748599497
a_subj(0).25,1.6393889219066176,0.19154417930175793,1.2949233203318022,1.505054374501451,1.6265538320180124,1.7640799936207396,2.0455653704935832,0.0034050363688894088
